VARIANT_ID,PRODUCT_LINK,PRODUCT_IMAGE_LINK,MODEL_IMAGE_LINK,PRODUCT_DESC_SE,PRODUCT_DESC_EN
30014941230,lindex.com/p/3001494-1230/,https://i8.amplience.net/i/Lindex/3001494_1230_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001494_1230_PS_MF/?h=300,Luftig stickad tröja med rund halsringning och volangdetalj.,Lightweight knitted jumper with round neckline and frill detail.
30016037370,lindex.com/p/3001603-7370/,https://i8.amplience.net/i/Lindex/3001603_7370_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001603_7370_PS_MF/?h=300,"Ribbad topp med båtringning, långa ärmar och volangkanter.","Ribbed top with boat neck, long sleeves and frill trims."
75755742150,lindex.com/p/7575574-2150/,https://i8.amplience.net/i/Lindex/7575574_2150_PS_F/?h=300,https://i8.amplience.net/i/Lindex/7575574_2150_PS_MF/?h=300,En finstickad tröja med härliga detaljer så som stilrena knappar vid ärmsluten.,A fine-knitted jumper with lovely details such as sleek buttons at the sleeve endings.
30038437251,lindex.com/p/3003843-7251/,https://i8.amplience.net/i/Lindex/3003843_7251_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3003843_7251_PS_MF/?h=300,"Mjuk, stilsäker topp med avslappnad passform och rund halsringning.","Soft, stylish top with a relaxed fit and round neckline."
30072680080,lindex.com/p/3007268-80/,https://i8.amplience.net/i/Lindex/3007268_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3007268_80_PS_MF/?h=300,Stilsäkra byxor i vår passform LYKKE med hög midja och vida ben.,Stylish trousers in our fit LYKKE with a high waist and a wide leg.
30068950080,lindex.com/p/3006895-80/,https://i8.amplience.net/i/Lindex/3006895_80_PS_F/?h=300,,Stilsäkra solglasögon med tonade glas.,Stylish sunglasses with tinted lenses.
30034891418,lindex.com/p/3003489-1418/,https://i8.amplience.net/i/Lindex/3003489_1418_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3003489_1418_PS_MF/?h=300,"Stilsäker cardigan med croppad längd, figurnära passform och små knappar framtill.","Stylish cardigan with cropped length, figure fit and small buttons down the front."
30067207048,lindex.com/p/3006720-7048/,https://i8.amplience.net/i/Lindex/3006720_7048_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006720_7048_PS_MF/?h=300,Linne i mjuk och stretchig bomull med figurnära passform och tvättad look.,Tank top in soft and stretchy cotton with figure fit and washed look.
85980060080,lindex.com/p/8598006-80/,https://i8.amplience.net/i/Lindex/8598006_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/8598006_80_PS_MF/?h=300,"Klassiska caprileggings med normalhög midja, gjorda i mjuk, stretchig bomull.","Classic capri leggings with regular waist, made in soft, stretchy cotton."
30027840080,lindex.com/p/3002784-80/,https://i8.amplience.net/i/Lindex/3002784_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3002784_80_PS_MF/?h=300,Bermudashorts i kraftig denim med avslappnad passform och normalhög midja.,Sturdy denim bermuda shorts with a relaxed fit and regular waist.
30002920791,lindex.com/p/3000292-791/,https://i8.amplience.net/i/Lindex/3000292_791_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3000292_791_PS_MF/?h=300,"Kort, långärmad jeansklänning med en skjortkrage och en v-ringning. Jeansklänningen har en knappstängning på den övre hälften och en resårmidja.","Short, long-sleeved denim dress with a shirt collar and a V-neck. The denim dress has a button closure on the upper half and an elastic waist."
30043529873,lindex.com/p/3004352-9873/,https://i8.amplience.net/i/Lindex/3004352_9873_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004352_9873_PS_MF/?h=300,"Stickade handskar i mjuk ullblandning med långa, ribbade muddar.","Knitted gloves in soft wool blend with long, ribbed cuffs."
30026393656,lindex.com/p/3002639-3656/,https://i8.amplience.net/i/Lindex/3002639_3656_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3002639_3656_PS_MF/?h=300,Stickad cardigan med avslappnad passform och guldpläterade knappar framtill.,Knitted cardigan with relaxed fit and gold-plated buttons down the front.
30063806730,lindex.com/p/3006380-6730/,https://i8.amplience.net/i/Lindex/3006380_6730_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006380_6730_PS_MF/?h=300,Finstickad cardigan med rak passform och korta ärmar.,Fine-knitted cardigan with a straight fit and short sleeves.
30013440080,lindex.com/p/3001344-80/,https://i8.amplience.net/i/Lindex/3001344_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001344_80_PS_MF/?h=300,Långärmad topp med rynk i sidorna och rund halsringning.,Long-sleeved top with gathering at the sides and a round neckline.
30062787488,lindex.com/p/3006278-7488/,https://i8.amplience.net/i/Lindex/3006278_7488_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006278_7488_PS_MF/?h=300,Miniklänning i mjuk bomullstrikå med guldfärgade knappar vid axeln.,Mini dress in soft cotton jersey with gold coloured buttons at shoulder.
30066980010,lindex.com/p/3006698-10/,https://i8.amplience.net/i/Lindex/3006698_10_PS_F/?h=300,,Stilsäkra blomörhängen i metall.,Stylish flower earrings in metal.
30001206902,lindex.com/p/3000120-6902/,https://i8.amplience.net/i/Lindex/3000120_6902_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3000120_6902_PS_MF/?h=300,Topp i luftig viskos med avslappnad passform. Toppen har v-ringning och korta ärmar.,Top in lightweight viscose with relaxed fit. The top has V-neck and short sleeves.
30031659917,lindex.com/p/3003165-9917/,https://i8.amplience.net/i/Lindex/3003165_9917_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3003165_9917_PS_MF/?h=300,Stickad cardigan i mjuk mohairblandning med avslappnad passform.,Knitted cardigan in a soft mohair blend with a relaxed fit.
30030260080,lindex.com/p/3003026-80/,https://i8.amplience.net/i/Lindex/3003026_80_PS_F/?h=300,,Snygg mellanstor väska i läderimitation med justerbar axelrem.,Stylish medium-sized imitation leather bag with adjustable shoulder strap.
30022467488,lindex.com/p/3002246-7488/,https://i8.amplience.net/i/Lindex/3002246_7488_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3002246_7488_PS_MF/?h=300,Fluffig stickad kofta med rund halsringning och knappstängning.,Fluffy knitted cardigan with a round neckline and button closure.
30021479614,lindex.com/p/3002147-9614/,https://i8.amplience.net/i/Lindex/3002147_9614_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3002147_9614_PS_MF/?h=300,Mjuk och skön stickad cardigan med öppen front och långa ärmar.,Soft and cosy knitted cardigan with open front and long sleeves.
30042187257,lindex.com/p/3004218-7257/,https://i8.amplience.net/i/Lindex/3004218_7257_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004218_7257_PS_MF/?h=300,Stilsäker blus i bäckebölja med puffärmar och v-ringning.,Stylish blouse in seersucker with puff sleeves and a v-neckline.
30073047268,lindex.com/p/3007304-7268/,https://i8.amplience.net/i/Lindex/3007304_7268_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3007304_7268_PS_MF/?h=300,Vävd midiklänning i strukturerat tyg och figurnära passform.,Woven midi dress in structured fabric and figure fit.
30063860300,lindex.com/p/3006386-300/,https://i8.amplience.net/i/Lindex/3006386_300_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006386_300_PS_MF/?h=300,Byxor med avslappnad passform och dragsko i midjan.,Trousers with relaxed fit and drawcord at waist.
30068980020,lindex.com/p/3006898-20/,https://i8.amplience.net/i/Lindex/3006898_20_PS_F/?h=300,,"Stilsäkra, borstade droppformade örhängen i färgad metall.",Sleek brushed drop-shaped earrings in coloured metal.
30065187704,lindex.com/p/3006518-7704/,https://i8.amplience.net/i/Lindex/3006518_7704_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006518_7704_PS_MF/?h=300,Topp i linneblandning med kort ärm och avslappnad passform.,Top in linen blend with short sleeves and relaxed fit.
30032847488,lindex.com/p/3003284-7488/,https://i8.amplience.net/i/Lindex/3003284_7488_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3003284_7488_PS_MF/?h=300,"Midikjol med ribbade detaljer, slits framtill och en mjuk, stickad kvalitet.","Midi skirt with ribbed details, front slits, and a soft, knitted quality."
30013159609,lindex.com/p/3001315-9609/,https://i8.amplience.net/i/Lindex/3001315_9609_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001315_9609_PS_MF/?h=300,Glesstickad cardigan i mysig ullblandning med avslappnad passform och knappar framtill.,Loose-knitted cardigan in cosy wool blend with a relaxed fit and buttons down the front.
30074090020,lindex.com/p/3007409-20/,https://i8.amplience.net/i/Lindex/3007409_20_PS_F/?h=300,,Stilrent armband i färgad metall med en dekorativ sjöstjärna.,Sleek bangle bracelet in coloured metal with a decorative starfish.
30069472521,lindex.com/p/3006947-2521/,https://i8.amplience.net/i/Lindex/3006947_2521_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006947_2521_PS_MF/?h=300,"Byxa med hög midja och avsmalnande, croppade ben.","High-waisted trousers with tapered, cropped legs."
30058957403,lindex.com/p/3005895-7403/,https://i8.amplience.net/i/Lindex/3005895_7403_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3005895_7403_PS_MF/?h=300,Ärmlös topp med polokrage och figurnära passform.,Sleeveless top with roll neck and a figure fit.
30030970080,lindex.com/p/3003097-80/,https://i8.amplience.net/i/Lindex/3003097_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3003097_80_PS_MF/?h=300,"Mjuk, stretchig bomullstopp med rund halsringning, korta ärmar och figurnära passform.","Soft, stretchy cotton top with round neckline, short sleeves and fitted silhouette."
30000846940,lindex.com/p/3000084-6940/,https://i8.amplience.net/i/Lindex/3000084_6940_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3000084_6940_PS_MF/?h=300,Finstickad cardigan med långa ärmar och en rak passform. Cardigan har guldfärgade knappar ner längs framsidan.,Fine-knit cardigan with long sleeves and a straight fit. The cardigan has gold coloured buttons down the front.
30093620250,lindex.com/p/3009362-250/,https://i8.amplience.net/i/Lindex/3009362_250_PS_F/?h=300,,Väskdekoration med olika roliga detaljer.,Bag decoration with different fun details.
30020970080,lindex.com/p/3002097-80/,https://i8.amplience.net/i/Lindex/3002097_80_PS_F/?h=300,,Håll håret på plats med vårt multipack av hårnålar. Perfekta för vardagsstyling och ger ett starkt men skonsamt grepp. Oavsett om du sätter upp en stram frisyr eller tämjer lösa lockar är dessa hårnålar ett måste i necessären.,"Keep your hair effortlessly in place with our multipack of bobby pins. Perfect for everyday styling, these essentials are designed to provide a strong yet gentle hold. Whether you're securing a sleek updo or taming loose strands – these bobby pins are your go-to for all your styling needs."
30045909873,lindex.com/p/3004590-9873/,https://i8.amplience.net/i/Lindex/3004590_9873_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004590_9873_PS_MF/?h=300,Linne i mjuk och stretchig bomull med figurnära passform.,Tank top in soft and stretchy cotton with figure fit.
30025719618,lindex.com/p/3002571-9618/,https://i8.amplience.net/i/Lindex/3002571_9618_PS_F/?h=300,,Mjuk topp i merinoull med polokrage och figurnära silhuett.,Soft jumper in merino wool with a roll neck and a fitted silhouette.
86505000080,lindex.com/p/8650500-80/,https://i8.amplience.net/i/Lindex/8650500_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/8650500_80_PS_MF/?h=300,Stilsäker byxa i vår passform FIONA med medelhög midja och utsvängt något kortare ben.,"Stylish trousers in our fit FIONA with a regular waist and a flared, slightly shorter leg."
86312220080,lindex.com/p/8631222-80/,https://i8.amplience.net/i/Lindex/8631222_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/8631222_80_PS_MF/?h=300,Figurnära miniklänning med kort puffärm och figursytt liv med smock. Smal resår på axlarna och i ärmsluten.,"A fitted mini-length dress with short puff sleeves and a fitted, smocked bodice. The dress has slim elastic to the shoulders and to sleeve openings."
30069000010,lindex.com/p/3006900-10/,https://i8.amplience.net/i/Lindex/3006900_10_PS_F/?h=300,,Stilsäkra bladformade örhängen.,Stylish leaf-shaped earrings.
30063828596,lindex.com/p/3006382-8596/,https://i8.amplience.net/i/Lindex/3006382_8596_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006382_8596_PS_MF/?h=300,Långärmad skjorta i trikå med heltäckande struktur och rak passform.,Long-sleeved shirt in jersey with an allover texture and straight fit.
83854526286,lindex.com/p/8385452-6286/,https://i8.amplience.net/i/Lindex/8385452_6286_PS_F/?h=300,https://i8.amplience.net/i/Lindex/8385452_6286_PS_MF/?h=300,"Mjuk, finstickad topp med polokrage.","Soft, fine-knitted top with a turtleneck."
30053610300,lindex.com/p/3005361-300/,https://i8.amplience.net/i/Lindex/3005361_300_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3005361_300_PS_MF/?h=300,Böljande ärmlös midiklänning med broderie anglais i nederkanten.,Flowy sleeveless midi dress with broderie anglais at the bottom hem.
30053480080,lindex.com/p/3005348-80/,https://i8.amplience.net/i/Lindex/3005348_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3005348_80_PS_MF/?h=300,Stilsäkra byxor med vida ben och resårmidja.,Stylish trousers with wide legs and an elastic waist.
30013009615,lindex.com/p/3001300-9615/,https://i8.amplience.net/i/Lindex/3001300_9615_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001300_9615_PS_MF/?h=300,Stickad tröja i mjuk ullblandning med avslappnad passform.,Knitted jumper in soft wool blend with a relaxed fit.
30045377251,lindex.com/p/3004537-7251/,https://i8.amplience.net/i/Lindex/3004537_7251_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004537_7251_PS_MF/?h=300,Vävd miniklänning med långa ärmar och rund halsringning med rynk.,Woven mini dress with long sleeves and round neckline with gatherings.
30016788522,lindex.com/p/3001678-8522/,https://i8.amplience.net/i/Lindex/3001678_8522_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001678_8522_PS_MF/?h=300,"Lång pufferjacka i dun och vattenavvisande material med avtagbar huva, tvåvägsdragkedja och knappslitsar i sidorna.","Long down puffer jacket in water repellent material with removable hood, two-way zipper and buttoned side slits."
86364900080,lindex.com/p/8636490-80/,https://i8.amplience.net/i/Lindex/8636490_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/8636490_80_PS_MF/?h=300,Ribbstickad miniklänning gjord i mjuk bomullsblandning med figurnära passform och smala axelband.,"Rib-knitted mini dress with slim shoulder straps and fitted silhouette, made in soft cotton blend."
30040511632,lindex.com/p/3004051-1632/,https://i8.amplience.net/i/Lindex/3004051_1632_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004051_1632_PS_MF/?h=300,Finstickad kortärmad tröja med krage och knappar.,Fine-knit short-sleeved jumper with collar and buttons.
30075109614,lindex.com/p/3007510-9614/,https://i8.amplience.net/i/Lindex/3007510_9614_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3007510_9614_PS_MF/?h=300,Mönsterstickad topp med v-ringning och krage.,Pattern knitted top with v-neck and collar.
30016667862,lindex.com/p/3001666-7862/,https://i8.amplience.net/i/Lindex/3001666_7862_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001666_7862_PS_MF/?h=300,Ärmlös topp med polokrage i ribbad viskostrikå med figurnära silhuett.,Sleeveless roll neck top in ribbed viscose jersey with a fitted silhouette.
30074890080,lindex.com/p/3007489-80/,https://i8.amplience.net/i/Lindex/3007489_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3007489_80_PS_MF/?h=300,Stickad cardigan i mjuk viskosblandning med knappstängning fram.,Knitted cardigan in soft viscose blend with button front closure.
79782597343,lindex.com/p/7978259-7343/,https://i8.amplience.net/i/Lindex/7978259_7343_PS_F/?h=300,https://i8.amplience.net/i/Lindex/7978259_7343_PS_MF/?h=300,"Supermjuk och bekväm topp i ekologisk bomull med rund halsringning, något croppad ärm och klassiskt randigt mönster.","A super soft and comfy organic cotton top with round neckline, slightly cropped sleeve length and classic striped pattern."
80165230080,lindex.com/p/8016523-80/,https://i8.amplience.net/i/Lindex/8016523_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/8016523_80_PS_MF/?h=300,Stilsäkra byxor i vår passform LYKKE med hög midja och vida ben.,Stylish trousers in our fit LYKKE with a high waist and a wide leg.
86037350080,lindex.com/p/8603735-80/,https://i8.amplience.net/i/Lindex/8603735_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/8603735_80_PS_MF/?h=300,Jeans med hög midja i bomullsdenim med extra vida ben.,High waist jeans in cotton denim with extra wide legs.
30043880300,lindex.com/p/3004388-300/,https://i8.amplience.net/i/Lindex/3004388_300_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004388_300_PS_MF/?h=300,Ribbad topp med korta ärmar och figurnära silhuett.,Ribbed top with short sleeves and a figure-fit silhouette.
30042167862,lindex.com/p/3004216-7862/,https://i8.amplience.net/i/Lindex/3004216_7862_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3004216_7862_PS_MF/?h=300,"Jeans med medelhög midja i bomullsdenim med lätt stretch och raka, croppade ben.","Mid waist jeans in cotton denim with light stretch and straight, cropped legs."
30057370080,lindex.com/p/3005737-80/,https://i8.amplience.net/i/Lindex/3005737_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3005737_80_PS_MF/?h=300,"Oversized, krinklad skjorta med krage, knappstängning fram och trekvartsärmar.","Oversized, crinkled shirt with a collar, front button closure, and three-quarter sleeves."
30053810080,lindex.com/p/3005381-80/,https://i8.amplience.net/i/Lindex/3005381_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3005381_80_PS_MF/?h=300,"Luftig byxa i vår Bella-passform, tillverkad i linneblandning, med raka ben och bekväm resårmidja.","Flowy trousers in the Bella fit, made from a linen blend, with straight legs and a comfy elastic waist."
30015469577,lindex.com/p/3001546-9577/,https://i8.amplience.net/i/Lindex/3001546_9577_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001546_9577_PS_MF/?h=300,Blus med vida ärmar och v-ringning.,Blouse with wide sleeves and v-neck.
30066020080,lindex.com/p/3006602-80/,https://i8.amplience.net/i/Lindex/3006602_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006602_80_PS_MF/?h=300,"Byxor med vida, croppade ben och hög midja med smock.","Trousers with wide, cropped legs and a high waist with smock."
86337400080,lindex.com/p/8633740-80/,https://i8.amplience.net/i/Lindex/8633740_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/8633740_80_PS_MF/?h=300,Enkel och stilsäker midikjol med resårmidja och slits baktill.,Simple and stylish midi skirt with an elastic waist and a slit to back.
30054510080,lindex.com/p/3005451-80/,https://i8.amplience.net/i/Lindex/3005451_80_PS_F/?h=300,,Stilsäkra solglasögon med tonade glas.,Stylish sunglasses with tinted lenses.
30017150080,lindex.com/p/3001715-80/,https://i8.amplience.net/i/Lindex/3001715_80_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3001715_80_PS_MF/?h=300,Jeans med medelhög midja i bomullsdenim med extra långa vida ben och ett avtagbart knytskärp i midjan.,Mid waist jeans in cotton denim with extra long wide legs and a removable tie belt at the waist.
30055185601,lindex.com/p/3005518-5601/,https://i8.amplience.net/i/Lindex/3005518_5601_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3005518_5601_PS_MF/?h=300,"Långärmad blus i linneblandning, med rak passform och knappstängning.","Long sleeve blouse in linen blend, with a straight fit and button closure."
30058599483,lindex.com/p/3005859-9483/,https://i8.amplience.net/i/Lindex/3005859_9483_PS_F/?h=300,,Mjuk scarf i satin med ett heltäckande paisleymönster.,Soft scarf in satin with an allover paisley pattern.
30052840791,lindex.com/p/3005284-791/,https://i8.amplience.net/i/Lindex/3005284_791_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3005284_791_PS_MF/?h=300,"Stilsäker workwearjacka i indigo med avslappnad passform, knappstängning och framfickor.","Stylish workwear jacket in indigo colour with a loose fit, button closure and front pockets."
30067420300,lindex.com/p/3006742-300/,https://i8.amplience.net/i/Lindex/3006742_300_PS_F/?h=300,https://i8.amplience.net/i/Lindex/3006742_300_PS_MF/?h=300,Figurnära jerseyskjorta med spetslook.,Figure-fit jersey shirt with lace look.
